Date,A,AA,AACG,AACT,AADI,AAL,AAME,AAOI,AAON
2023-10-16 00:00:00-04:00,0.004142643017650823,-0.014338282575655422,0.0,-0.0009708959899662353,0.0,0.010152274844104098,-0.0471203747340962,0.0065789725476688155,0.007165323989258618
2023-10-17 00:00:00-04:00,0.02089012791674498,0.05589358415766323,-0.018181800448205245,0.0009718395450834474,-0.011820376006952129,0.0050504600475087145,-0.03888885283175722,0.014705900164961433,0.004204587527517553
2023-10-18 00:00:00-04:00,-0.024431879780535567,-0.021402210905600058,-0.045871623848112934,-0.0009708959899662353,-0.029197109508376264,-0.0323679831217514,0.0,0.0053262264492610996,-0.052390147785372716
2023-10-19 00:00:00-04:00,0.002379882253825744,-0.0733944987573799,-0.06363640994079742,-0.0029125953801609635,-0.007518789804026501,0.008810521976604648,0.0,-0.017150411048732255,-0.014911519645939208
2023-10-20 00:00:00-04:00,-0.0028299941208948035,0.02170213739922716,0.029411737206622428,-0.0009718395450834474,0.017412978107836607,-0.02807014960808167,-0.08121831650102217,-0.0662162488703309,0.006054866680477041
2023-10-23 00:00:00-04:00,0.011470840714825674,0.01079447330082504,0.0392156496088299,0.0014570513075852077,-0.04136254763295606,0.02450086142230047,0.02645506449947962,0.07014929558339178,0.005257277559487582
2023-10-24 00:00:00-04:00,-0.017302331259084282,-0.009298364952379987,0.009803912402207475,-0.0009708959899662353,0.06982536583277643,-0.013204192171089178,0.0,0.034770514326900585,-0.01826571336773369
2023-10-25 00:00:00-04:00,0.004859086419685243,0.0216413579570812,0.0,0.0,-0.02088170621409546,-0.007194237817389377,-0.03743318303400652,-0.05066668192545573,0.001690143710570629
2023-10-26 00:00:00-04:00,0.008118259669282323,-0.02000831791645963,0.08000004291534424,-0.0019399085305192882,0.019047715280065776,0.009049721816227393,0.07428571156093056,-0.025531957490205225,-0.007011089718933599
2023-10-27 00:00:00-04:00,-0.016931358876600473,-0.019395209392667524,-0.08571426462964851,0.0,0.007109054810400158,-0.02325583379111974,0.0,-0.008450696279642565,0.0
2023-10-30 00:00:00-04:00,-0.014993680549649174,0.05499998728434238,0.03960392300071266,0.0009718395450834474,-0.039170523114515625,0.015440515237047397,-0.08648646732940579,-0.008403353487606407,0.0001836239006998827
2023-10-31 00:00:00-04:00,0.003592259675553672,0.014240454637056362,0.04301077543014525,0.0009718395450834474,0.08415845440551507,0.0036003567136914244,0.01775146175977734,0.04207569552349563,0.0014705517300283267
2023-11-01 00:00:00-04:00,0.003512201076600638,-0.024931803184506954,-0.020408204226431473,0.0009718395450834474,-0.018181800448205245,0.002700331914724861,0.04069763492931937,0.04183535076425222,0.033839443036038565
2023-11-02 00:00:00-04:00,0.004809079485712632,0.022352929208792872,-0.09523806550335047,0.0009698617653297127,0.05747126562779011,0.004405218976219313,0.022471956014182306,0.07124996185302734,-0.010276957919457015
2023-11-03 00:00:00-04:00,0.023661940310482757,0.0011321013828492952,-0.06603767643538114,0.0009698617653297127,0.042918517736296354,0.03009453347819124,0.01075267783478249,0.08850580168331194,-0.005499221556560446
2023-11-06 00:00:00-05:00,-0.011763613712127884,-0.027704971788948842,-0.13333326899815828,0.0,-0.01020412035953521,-0.03316754214651205,0.005714280264718275,0.022151903827775262,0.004877177844296621
2023-11-07 00:00:00-05:00,0.034631268293337715,0.012688406458576077,0.043478218616745966,0.000969014455189504,0.002079049688316032,0.0025597041201089305,-0.06521739271277514,0.019587684308625924,-0.0030508526300979167
2023-11-08 00:00:00-05:00,-0.01352691864240405,0.01632164943130717,0.024096434859410952,0.0,-0.023109270635527732,0.012647603418785824,0.0,-0.01104414219437204,-0.003741452531638792
2023-11-09 00:00:00-05:00,-0.0216128298533517,-0.047655930557432793,-0.03409087676400963,0.00019378440897695878,-0.03225808436366903,-0.033717093137905385,-0.09941524707693246,-0.030784456339330024,-0.027918743718820044
2023-11-10 00:00:00-05:00,0.006962495279436181,-0.00242920532136347,-0.10526312157057613,0.0,0.004376363276862391,0.01113968411234169,0.0,0.008073176487955216,0.015919677355431955
2023-11-13 00:00:00-05:00,-0.006196228483896827,0.004491654200882801,0.08749998975545183,0.000969014455189504,-0.006535993205018778,0.006837600428224228,0.03267978592192807,0.22767856620176108,0.0013578043710268507
2023-11-14 00:00:00-05:00,0.01880417618628907,0.02869494995721591,0.0,-0.000967140109696525,0.010593261219791936,0.00823048432999236,-0.005813947847045559,0.09349957555971258,0.06766662597656249
2023-11-15 00:00:00-05:00,0.015645954616663686,0.016214189206392036,0.011764694332664312,0.0,-0.018750031044084587,0.00566799130866815,0.010928951069668853,0.04009818006634982,-0.007626485267965696
2023-11-16 00:00:00-05:00,0.002194137218213343,-0.02255640499493004,0.023809572804273028,0.0033848981523805517,-0.0361701290118493,-0.01851855833315545,0.02673794234694526,0.038025912628152886,-0.016370173474157063
2023-11-17 00:00:00-05:00,-0.007281995144845635,-0.004933626802019172,0.13414636007878572,0.0,0.02838430493591017,0.0016299513727158063,0.033898340471971884,-0.01696224074783359,-0.004598080179650624
2023-11-20 00:00:00-05:00,0.006445945756587985,0.00569907371844572,-0.021505355669564928,-0.004807619124471926,-0.030612263764901768,0.013900252056989021,0.0,0.1200619836603306,0.007490059294073697
2023-11-21 00:00:00-05:00,0.020253574040962816,0.0041856430794854176,-0.07142856273984786,0.0,-0.014736878244500411,-0.013821144199818803,0.010695176938778106,-0.05795051003042996,0.012597686605977768
